0.933590, 
0.890576, 
0.845776, 
0.773870, 
0.937428, 
0.906311, 
0.661931, 
0.865094, 
0.759939, 
0.699514, 
0.883574, 
0.942245, 
0.906747, 
0.752696, 
0.942308, 
0.799171, 
0.768049, 
0.558356, 
0.771906, 
0.822394, 
0.710033, 
0.884075, 
0.805828, 
0.585133, 
0.861048, 
0.766421, 
0.885259, 
0.826809, 
0.602490, 
0.691681, 
