0.591502, 
0.705929, 
0.811679, 
0.660535, 
0.788988, 
0.857392, 
0.609058, 
0.788713, 
0.728299, 
0.688181, 
0.686680, 
0.865048, 
0.794799, 
0.636319, 
0.582085, 
0.851140, 
0.779118, 
0.821405, 
0.711856, 
0.844456, 
