0.811361, 
0.895555, 
0.655243, 
0.733672, 
0.925196, 
0.954370, 
0.901337, 
0.930151, 
0.815609, 
0.860914, 
0.770226, 
0.809539, 
0.854557, 
0.849854, 
0.888319, 
0.842105, 
0.930502, 
0.757907, 
0.617127, 
0.884723, 
0.763660, 
0.797695, 
0.891186, 
0.806755, 
0.765044, 
0.704787, 
0.875628, 
0.783645, 
0.783684, 
0.951612, 
