
0.732919, 
0.946297, 
0.890577, 
0.812546, 
0.759576, 
0.856779, 
0.974441, 
0.883666, 
0.887681, 
0.859124, 
0.864403, 
0.761051, 
0.788090, 
0.885093, 
0.960086, 
0.830759, 
0.796185, 
0.881022, 
0.946343, 
0.781572, 
0.876950, 
0.808036, 
0.821905, 
0.738686, 
0.739167, 
0.831546, 
0.809863, 
0.943052, 
0.839252, 
