0.783172, 
0.790668, 
0.807286, 
0.803440, 
0.719418, 
0.743487, 
0.702857, 
0.777868, 
0.765723, 
0.742769, 
0.817094, 
0.741240, 
0.759146, 
0.820513, 
0.699903, 
0.752446, 
0.823723, 
0.690343, 
0.770252, 
0.809091, 
0.784380, 
0.728571, 
0.719522, 
0.815900, 
0.707755, 
0.773103, 
0.758491, 
0.846316, 
0.834686, 
0.762548, 
0.758152, 
0.814590, 
0.708609, 
0.681190, 
0.645129, 
0.713360, 
0.782007, 
0.794189, 
0.790960, 
0.784020, 
0.824356, 
0.725869, 
0.664706, 
0.784864, 
0.792453, 
0.819672, 
0.741904, 
0.746467, 
0.762642, 
0.785260, 
0.724762, 
0.805468, 
0.822866, 
0.704478, 
0.781940, 
0.772671, 
0.761526, 
0.784846, 
0.778215, 
0.765625, 
0.742584, 
0.725601, 
0.854492, 
0.830281, 
0.825397, 
